Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity,Bi-encoder similarity,Cross-encoder similarity,Cross-encoder inference
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,1,20,93.47500000000002,0.5972598827888347,0.9171081185340881,0.8021776,entailment
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,1,18,85.16499999999999,0.5163977794943223,0.9379768371582031,0.8642999,entailment
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,83.77500000000002,0.6460582824697985,0.9572550058364868,0.9772727,entailment
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,85.13947368421054,0.5984437489312765,0.9364081025123596,0.9037956,entailment
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.6487446070815475,0.9265101552009583,0.89408296,entailment
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9282023310661316,0.8101539,entailment
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,91.53347826086959,0.638888888888889,0.9182355999946594,0.92668855,entailment
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9299882054328918,0.8118713,entailment
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,92.86285714285715,0.606217782649107,0.9122082591056824,0.9462081,entailment
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9288771152496338,0.823375,entailment
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,82.82961538461542,0.6188422143604214,0.9338132739067078,0.95852584,entailment
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7195920781292547,0.9340952634811401,0.8034665,entailment
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,84.45000000000003,0.7149203529842405,0.9313924312591553,0.87796664,entailment
