Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Readability score,Readability score shorter,Cosine similarity,Cosine similarity shorter,Bi-encoder similarity,Bi-encoder similarity shorter,Cross-encoder similarity,Cross-encoder similarity shorter,Cross-encoder inference,Cross-encoder inference shorter
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,2,71,67,91.06403755868544,94.51592039800998,0.9094715459384591,0.9167241101006476,0.88676917552948,0.9041755795478821,0.85623604,0.86926275,neutral,neutral
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,2,72,62,93.39,94.43575268817207,0.8838026503529308,0.9253584478658898,0.8472646474838257,0.8726184368133545,0.76446164,0.81071144,neutral,neutral
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,2,86,59,89.03746511627908,96.53774011299436,0.8988171415059523,0.8783202765705104,0.8537527918815613,0.8232614994049072,0.6991371,0.811409,neutral,neutral
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,2,65,55,92.23604519774013,60.458867924528334,0.9289353284334162,0.9291092400837948,0.9140034317970276,0.8679730892181396,0.85672534,0.8303525,neutral,neutral
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,2,154,100,64.158963963964,80.53166666666671,0.9118714900192166,0.9253389298086546,0.891981303691864,0.8506231307983398,0.81847775,0.7527178,neutral,neutral
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,2,95,61,79.40701754385965,81.56930327868854,0.8320058607380243,0.8641014200551571,0.7939351201057434,0.7241331338882446,0.64497125,0.7280135,neutral,neutral
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,2,88,66,89.33,94.77772727272728,0.9017292114169042,0.888894355812042,0.8765541315078735,0.7757555246353149,0.77723676,0.7997283,neutral,neutral
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,2,221,118,71.66677419354839,85.64826086956523,0.8918044230111695,0.882316514591469,0.8787197470664978,0.9313448071479797,0.72918874,0.660737,contradiction,contradiction
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,2,118,67,93.65381355932206,74.34294776119404,0.9385233304191825,0.9038915962102043,0.8746137022972107,0.8222078084945679,0.8534201,0.83400196,entailment,entailment
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,2,125,68,73.88063414634149,83.05480392156865,0.8081659159428424,0.8412097159246889,0.8269025683403015,0.861089825630188,0.66804564,0.67506814,entailment,entailment
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,2,81,73,90.19236111111113,88.26543378995436,0.8581298648032726,0.8766500707215126,0.857140064239502,0.897214412689209,0.8053835,0.8298723,entailment,entailment
