Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Readability score,Readability score shorter,Cosine similarity,Cosine similarity shorter,Bi-encoder similarity,Bi-encoder similarity shorter,Cross-encoder similarity,Cross-encoder similarity shorter,Cross-encoder inference,Cross-encoder inference shorter
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,20,87.30000000000003,93.47500000000002,0.5015503913178175,0.5417363388859616,0.9445590972900391,0.9531532526016235,0.8682288,0.9240174,entailment,entailment
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,19,92.86285714285715,94.04473684210527,0.6388888888888891,0.6062177826491072,0.9204302430152893,0.9213597178459167,0.9059213,0.9229688,entailment,entailment
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,17,85.13947368421054,90.05058823529413,0.6113149794833975,0.4517812304569954,0.9411013722419739,0.9002394676208496,0.937265,0.8513101,entailment,entailment
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,17,94.04473684210527,100.00352941176472,0.6350852961085884,0.6019292654288462,0.9267772436141968,0.9218323826789856,0.97993153,0.97257185,entailment,entailment
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,14,92.86285714285715,95.93928571428573,0.5897678246195887,0.5516772843673704,0.9242908358573914,0.8509938716888428,0.88989305,0.841315,entailment,entailment
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.9275843501091003,0.9275843501091003,0.7989948,0.85462046,entailment,entailment
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,1,23,16,91.53347826086959,95.42,0.5555555555555556,0.5773502691896258,0.9095509052276611,0.8337416052818298,0.9096393,0.8758104,entailment,entailment
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.9299882054328918,0.9299882054328918,0.8118713,0.8118713,entailment,entailment
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,24,83.77500000000002,83.77500000000002,0.7660323462854266,0.7660323462854266,0.9714966416358948,0.9714966416358948,0.97457653,0.97457653,entailment,entailment
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.9288771152496338,0.9288771152496338,0.8492388,0.8492388,entailment,entailment
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,20,82.82961538461542,89.24500000000003,0.6851601597031488,0.7423218080230884,0.9615821838378906,0.9531494379043579,0.9800009,0.9658568,entailment,entailment
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,14,84.45000000000003,83.85357142857143,0.7195920781292547,0.6527299120066192,0.9334710240364075,0.9322141408920288,0.8461806,0.8397585,entailment,entailment
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,15,85.07411764705884,84.45000000000003,0.7883421693396079,0.7149203529842405,0.9693165421485901,0.9359497427940369,0.81749994,0.8173828,entailment,entailment
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,17,85.07411764705884,85.07411764705884,0.8546240657520564,0.8546240657520564,0.9647746086120605,0.9647746086120605,0.83146524,0.83146524,entailment,entailment
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.9380906224250793,0.9380906224250793,0.8229257,0.8592636,entailment,entailment
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,15,85.07411764705884,84.45000000000003,0.8546240657520564,0.7195920781292547,0.9770281314849854,0.9293592572212219,0.9079149,0.87477803,entailment,entailment
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.9369972348213196,0.9369972348213196,0.8310633,0.8310633,entailment,entailment
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,17,86.708,100.00352941176472,0.6416587529241817,0.5721588318817212,0.9598677754402161,0.916787326335907,0.96678644,0.9111633,entailment,entailment
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,15,88.83428571428574,101.37000000000002,0.7504787743864565,0.5601120336112041,0.9490554928779602,0.9038394093513489,0.918344,0.7644655,entailment,entailment
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,17,87.30000000000003,100.00352941176472,0.752325586976726,0.5147915616702294,0.9518846273422241,0.9140592813491821,0.9444957,0.93386316,entailment,entailment
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,14,94.04473684210527,95.93928571428573,0.6350852961085884,0.5773502691896258,0.9188330769538879,0.9104841947555542,0.9702968,0.8077729,entailment,entailment
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.9075465798377991,0.9075465798377991,0.8780965,0.8780965,entailment,entailment
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,26,86.08346153846156,86.08346153846156,0.612825877028341,0.612825877028341,0.957848846912384,0.957848846912384,0.9650073,0.9650073,entailment,entailment
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,17,85.07411764705884,85.07411764705884,0.8561706738324665,0.8561706738324665,0.9635339379310608,0.9635339379310608,0.86849487,0.8470882,entailment,entailment
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,18,82.82961538461542,85.16499999999999,0.65,0.632455532033676,0.9561540484428406,0.9226087331771851,0.9643743,0.8625504,entailment,entailment
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,14,84.45000000000003,83.85357142857143,0.7149203529842405,0.6434894520877869,0.9285559058189392,0.9265165328979492,0.83422685,0.83033895,entailment,entailment
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,25,86.708,86.708,0.6646940512883969,0.6646940512883969,0.9478117227554321,0.9478117227554321,0.94701654,0.94701654,neutral,neutral
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.9332997798919678,0.9332997798919678,0.81769216,0.81769216,entailment,entailment
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7195920781292547,0.7195920781292547,0.9301082491874695,0.9301082491874695,0.80490917,0.80490917,entailment,entailment
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.9341447353363037,0.9341447353363037,0.8204895,0.8204895,entailment,entailment
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,95.73000000000002,0.7195920781292547,0.3741878806272124,0.9311884641647339,0.823126494884491,0.8776682,0.6062981,entailment,entailment
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.9332981705665588,0.9332981705665588,0.8875627,0.8875627,entailment,entailment
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,1,16,16,79.5575,79.5575,0.6713450866373514,0.6713450866373514,0.9246659874916077,0.9246659874916077,0.7696568,0.7696568,entailment,entailment
