Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity,Bi-encoder similarity,Cross-encoder similarity,Cross-encoder inference
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,3,59,74.28408898305086,0.5634782943130939,0.7687870264053345,0.58880657,contradiction
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,3,60,97.36500000000001,0.8532627063813227,0.8074133396148682,0.6449407,neutral
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,3,60,95.165,0.8341272983014053,0.8176217675209045,0.73927706,neutral
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,3,46,99.52771739130438,0.6847591529771457,0.7990992665290833,0.7206109,contradiction
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,3,74,98.06705405405408,0.806562210781948,0.7815107703208923,0.5709649,neutral
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,3,254,88.7761360448808,0.8526532141532824,0.801559567451477,0.67416203,entailment
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,3,93,82.36935483870971,0.7956851125761898,0.756844699382782,0.66837496,entailment
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,3,311,92.24614634146342,0.7779304704863078,0.6920911073684692,0.62136865,entailment
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,3,149,86.4353691275168,0.8748112212557732,0.8661333918571472,0.666712,neutral
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,3,203,83.08790914066778,0.8751738023402788,0.8171777725219727,0.62054855,neutral
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,3,89,94.82186329588016,0.8507128957772485,0.8077564239501953,0.7052451,entailment
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,3,95,79.96315789473685,0.7700208062845226,0.8136240839958191,0.6461857,neutral
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,3,124,75.80088709677423,0.7324271110997386,0.7934964895248413,0.5789673,neutral
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,3,228,82.17105263157896,0.8201138446078681,0.7862181663513184,0.683215,entailment
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,3,157,79.68377786624205,0.789167074111134,0.7895126342773438,0.755956,entailment
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,3,7,90.95857142857145,0.576840700877281,0.5954936742782593,0.77189296,entailment
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,3,122,71.70000000000002,0.7852407017175465,0.8401376008987427,0.62487227,neutral
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,3,89,93.87130149812735,0.8448248060691834,0.7973253726959229,0.7397608,entailment
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,3,95,103.11684210526317,0.839975652175093,0.8281475901603699,0.6612027,contradiction
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,3,58,100.25065517241381,0.7839438935347367,0.8293348550796509,0.5858244,entailment
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,3,114,87.89447368421054,0.7133445773577005,0.7512825131416321,0.63311833,entailment
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,3,131,79.79357142857143,0.7597536796856658,0.7816856503486633,0.5459322,neutral
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,3,120,86.50500000000002,0.8619382557901069,0.8400371074676514,0.69542706,entailment
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,3,96,94.19250000000001,0.8171487322761024,0.7935671210289001,0.5570243,neutral
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,97.13950000000001,0.7809355214610938,0.7610354423522949,0.6287128,entailment
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,3,82,64.28603658536586,0.7251218518700524,0.7503984570503235,0.7832818,entailment
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,3,97,94.21536082474228,0.8251001823022184,0.7882100939750671,0.6512108,neutral
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,3,941,-147.33999999999995,0.8057708695723745,0.7406803369522095,0.7594981,entailment
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,3,142,67.28072183098594,0.8048273651362474,0.8133790493011475,0.5984981,neutral
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,3,27,77.19916666666668,0.4804127286977072,0.5993074774742126,0.63078016,entailment
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,3,128,83.18593750000001,0.8001404931705363,0.7907983660697937,0.58461475,neutral
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,3,31,81.94120967741938,0.27558356649190924,0.4121505618095398,0.65453684,neutral
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,3,187,77.17500000000001,0.8954553956892952,0.7912800908088684,0.60226923,entailment
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,91.21800000000002,0.7485842050399087,0.7810896635055542,0.65836966,neutral
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,3,41,95.32393292682929,0.6937975058483025,0.7641253471374512,0.7080256,entailment
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,3,127,88.49874015748034,0.7833259111803234,0.8295225501060486,0.64435637,contradiction
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,3,166,85.67653949129856,0.8810802201994085,0.7969486713409424,0.6426945,neutral
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,3,92,88.66456521739131,0.6752211584516181,0.8167744874954224,0.70667034,entailment
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,3,286,84.38482794943822,0.8943584338725096,0.8233291506767273,0.5974498,entailment
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,3,63,100.04600000000002,0.8145026913069974,0.781602680683136,0.68474483,entailment
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,3,146,74.15919520547945,0.8438586303363333,0.8275077939033508,0.60583955,neutral
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,3,42,95.58042857142858,0.4987819314754633,0.7591448426246643,0.6634977,entailment
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,3,176,87.06797368421053,0.8825667265526365,0.8696085214614868,0.6348471,contradiction
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,3,109,81.24048738532112,0.8207444386803054,0.7660087943077087,0.4976949,neutral
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,3,204,83.92018716577542,0.8901644956912131,0.8540857434272766,0.57108265,entailment
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,3,162,77.13680555555557,0.8382399515850456,0.8432027697563171,0.68838924,neutral
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,3,108,73.17033333333337,0.6777053848284189,0.7855700254440308,0.55999607,entailment
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,3,142,75.43091549295775,0.731716183040512,0.8294624090194702,0.59004986,neutral
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,3,60,101.595,0.65652860311855,0.7741774916648865,0.68777657,contradiction
pair_49,collaborative_ssd_case_inspection,gpt-oss:20b,3,44,99.53363636363638,0.7545611126563966,0.789306640625,0.76628923,contradiction
pair_50,collaborative_ssd_case_inspection,gpt-oss:20b,3,205,89.8723780487805,0.8336748691298358,0.8548968434333801,0.6479113,entailment
pair_51,collaborative_ssd_case_inspection,gpt-oss:20b,3,96,96.30125000000001,0.8280047364819141,0.8283719420433044,0.78868365,entailment
pair_52,collaborative_ssd_case_inspection,gpt-oss:20b,3,110,74.40121212121215,0.783353902441081,0.8301789164543152,0.6354789,neutral
pair_53,collaborative_ssd_case_inspection,gpt-oss:20b,3,69,102.0975652173913,0.8538735999738662,0.8219934701919556,0.6928152,contradiction
pair_54,collaborative_ssd_case_inspection,gpt-oss:20b,3,140,86.50468253968255,0.8937876923498789,0.853853702545166,0.6332887,neutral
pair_55,collaborative_ssd_case_inspection,gpt-oss:20b,3,41,97.38734756097563,0.776494591448557,0.7936396598815918,0.6332943,neutral
pair_56,collaborative_ssd_case_inspection,gpt-oss:20b,3,144,76.877888986014,0.8009378151429221,0.8402126431465149,0.53800035,entailment
pair_57,collaborative_ssd_case_inspection,gpt-oss:20b,3,118,85.98484934086632,0.7371731832871387,0.8291635513305664,0.56469035,neutral
pair_58,collaborative_ssd_case_inspection,gpt-oss:20b,3,135,62.69687500000002,0.8772807066072195,0.7831525802612305,0.5686008,neutral
pair_59,collaborative_ssd_case_inspection,gpt-oss:20b,3,147,83.0791836734694,0.8368638029378815,0.8281872272491455,0.64119464,entailment
pair_60,collaborative_ssd_case_inspection,gpt-oss:20b,3,173,76.80151156069368,0.8586374002425567,0.8206125497817993,0.60504603,contradiction
pair_61,collaborative_ssd_case_inspection,gpt-oss:20b,3,124,86.51629032258067,0.8649116195603194,0.8092464208602905,0.68548757,neutral
pair_62,collaborative_ssd_case_inspection,gpt-oss:20b,3,81,92.86583333333337,0.8294314432267051,0.7995541095733643,0.6761461,neutral
pair_63,collaborative_ssd_case_inspection,gpt-oss:20b,3,205,89.72191369606006,0.8917474595710926,0.8343347311019897,0.6095784,neutral
pair_64,collaborative_ssd_case_inspection,gpt-oss:20b,3,94,91.45300000000002,0.8958372912302872,0.8467437624931335,0.65020245,neutral
pair_65,collaborative_ssd_case_inspection,gpt-oss:20b,3,135,79.34416666666668,0.8499672037635271,0.8254348039627075,0.6488284,neutral
pair_66,collaborative_ssd_case_inspection,gpt-oss:20b,3,99,90.10568181818182,0.872621108310827,0.8106288909912109,0.6930388,neutral
pair_67,collaborative_ssd_case_inspection,gpt-oss:20b,3,89,81.51399812734083,0.8201751903972273,0.8193858861923218,0.6181812,neutral
pair_68,collaborative_ssd_case_inspection,gpt-oss:20b,3,70,97.23394117647061,0.8012369397456497,0.8139057159423828,0.7483851,contradiction
pair_69,collaborative_ssd_case_inspection,gpt-oss:20b,3,97,84.02170962199315,0.7925766963636743,0.7643000483512878,0.67517143,neutral
pair_70,collaborative_ssd_case_inspection,gpt-oss:20b,3,250,80.78500000000003,0.9202481645537786,0.7890904545783997,0.6959953,contradiction
pair_71,collaborative_ssd_case_inspection,gpt-oss:20b,3,93,70.11540322580647,0.6876218531424859,0.7852084636688232,0.5358992,neutral
pair_72,collaborative_ssd_case_inspection,gpt-oss:20b,3,155,88.00042365771814,0.8514555384359702,0.8262108564376831,0.6255935,entailment
pair_73,collaborative_ssd_case_inspection,gpt-oss:20b,3,86,69.5741666666667,0.48218742571380696,0.7315307259559631,0.5250029,entailment
pair_74,collaborative_ssd_case_inspection,gpt-oss:20b,3,318,77.75159666398716,0.8711757405186449,0.8250102996826172,0.62037945,neutral
pair_75,collaborative_ssd_case_inspection,gpt-oss:20b,3,97,84.6215463917526,0.7821387517988522,0.8050157427787781,0.6583118,neutral
pair_76,collaborative_ssd_case_inspection,gpt-oss:20b,3,57,90.32934210526317,0.8097206492089731,0.7776222229003906,0.68785,neutral
pair_77,collaborative_ssd_case_inspection,gpt-oss:20b,3,193,85.56262500000001,0.8985489462437858,0.8608203530311584,0.6755688,neutral
pair_78,collaborative_ssd_case_inspection,gpt-oss:20b,3,44,101.76663636363638,0.5934210594035251,0.7782273292541504,0.65886664,contradiction
pair_79,collaborative_ssd_case_inspection,gpt-oss:20b,3,190,86.13512112197198,0.8808965131514521,0.7922202944755554,0.61928463,entailment
pair_80,collaborative_ssd_case_inspection,gpt-oss:20b,3,55,91.0736363636364,0.6377224898337481,0.7555766105651855,0.636599,contradiction
pair_81,collaborative_ssd_case_inspection,gpt-oss:20b,3,124,75.60016129032262,0.8040551837061571,0.8249916434288025,0.6712248,neutral
pair_82,collaborative_ssd_case_inspection,gpt-oss:20b,3,141,82.71821428571431,0.8106474318418216,0.7861406803131104,0.63267696,neutral
pair_83,collaborative_ssd_case_inspection,gpt-oss:20b,3,122,83.51217668488161,0.81899397701476,0.8191136121749878,0.57732594,neutral
pair_84,collaborative_ssd_case_inspection,gpt-oss:20b,3,99,91.73376344086022,0.8329156911063028,0.8050486445426941,0.5784335,neutral
