Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity
pair_0,collaborative_ssd_case_inspection,qwen3:32b,2,36,94.565,0.6991658532358712
pair_1,collaborative_ssd_case_inspection,qwen3:32b,2,59,92.5605263157895,0.8878739891989288
pair_2,collaborative_ssd_case_inspection,qwen3:32b,2,54,97.69833333333332,0.9091312178953616
pair_3,collaborative_ssd_case_inspection,qwen3:32b,2,24,103.00500000000001,0.8687593150417238
pair_4,collaborative_ssd_case_inspection,qwen3:32b,2,64,92.65041666666667,0.930682437296781
pair_5,collaborative_ssd_case_inspection,qwen3:32b,2,86,89.03746511627908,0.8195571653269359
pair_6,collaborative_ssd_case_inspection,qwen3:32b,2,48,94.19250000000001,0.8794330493448308
pair_7,collaborative_ssd_case_inspection,qwen3:32b,2,65,86.50993589743591,0.8595641800373106
pair_8,collaborative_ssd_case_inspection,qwen3:32b,2,70,87.67452380952382,0.9178512164884589
pair_9,collaborative_ssd_case_inspection,qwen3:32b,2,79,56.14064873417723,0.7980233363696003
pair_10,collaborative_ssd_case_inspection,qwen3:32b,2,37,92.02506756756759,0.8924588126375157
pair_11,collaborative_ssd_case_inspection,qwen3:32b,2,55,72.86303030303034,0.6884554251391276
pair_12,collaborative_ssd_case_inspection,qwen3:32b,2,83,81.94262650602413,0.9197350229358067
pair_13,collaborative_ssd_case_inspection,qwen3:32b,2,72,65.19000000000001,0.8037216580093229
pair_14,collaborative_ssd_case_inspection,qwen3:32b,2,95,81.22942982456142,0.8391465231349742
pair_15,collaborative_ssd_case_inspection,qwen3:32b,2,60,65.27500000000003,0.5992599820915838
pair_16,collaborative_ssd_case_inspection,qwen3:32b,2,96,71.62625000000001,0.835205366415892
pair_17,collaborative_ssd_case_inspection,qwen3:32b,2,51,91.70941176470589,0.8390219799634031
pair_18,collaborative_ssd_case_inspection,qwen3:32b,2,39,96.02461538461542,0.9016294767544886
pair_19,collaborative_ssd_case_inspection,qwen3:32b,2,50,93.65750000000001,0.8551813848192913
pair_20,collaborative_ssd_case_inspection,qwen3:32b,2,68,76.83421568627453,0.9284196248518517
pair_21,collaborative_ssd_case_inspection,qwen3:32b,2,78,81.83480769230772,0.8695057740237873
pair_22,collaborative_ssd_case_inspection,qwen3:32b,2,69,85.40304347826088,0.8593278056299747
pair_23,collaborative_ssd_case_inspection,qwen3:32b,2,79,80.49673417721519,0.8527648832751706
pair_24,collaborative_ssd_case_inspection,qwen3:32b,2,65,91.1325641025641,0.8595138848295468
pair_25,collaborative_ssd_case_inspection,qwen3:32b,2,68,73.10186274509806,0.8297006598722247
pair_26,collaborative_ssd_case_inspection,qwen3:32b,2,40,93.89666666666668,0.9014121194512529
pair_27,collaborative_ssd_case_inspection,qwen3:32b,2,99,75.64709090909092,0.8105682427058716
pair_28,collaborative_ssd_case_inspection,qwen3:32b,2,86,72.3142093023256,0.8672565118749792
