Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Words clearer,Readability score,Readability score shorter,Readability score clearer,Cosine similarity,Cosine similarity shorter,Cosine similarity clearer
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,3,30,20,42,103.625,107.855,103.3894210526316,0.668012825289884,0.6596980106089946,0.689864461987263
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,3,82,41,82,92.88772357723579,98.04626016260163,93.85538461538464,0.8646612923630426,0.7383061172221704,0.7453324678719676
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,47,101,97.98600000000002,95.90875,89.4615257731959,0.8175073747779504,0.7557151757651377,0.533250397435711
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,3,47,28,48,105.28416666666669,106.06571428571431,87.816,0.6298434280386236,0.6166976772187361,0.671356653949799
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,33,73,99.3955,93.12454545454547,99.52771739130438,0.8615400177057893,0.5085724725785661,0.8565797410012821
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,3,98,41,119,79.53724489795918,69.15845528455286,80.70967432950194,0.7030577744614722,0.4061724630547312,0.702177021631144
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,3,113,58,57,95.63244100294986,97.30715517241381,102.0963157894737,0.7622262496806439,0.729405998061574,0.6624816575678949
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,3,290,139,248,83.12310344827587,80.07664179104478,41.64472402597403,0.8937333112676721,0.8128959424812627,0.8950426330057055
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,3,80,52,91,93.305,94.88012820512822,91.95887931034484,0.796589656323388,0.8677283984625843,0.7929629654498058
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,3,90,36,68,87.27000000000001,81.38761904761907,87.281,0.7953075236033418,0.621611046207956,0.539902932091684
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,3,41,37,46,85.02419512195122,98.7185945945946,87.1491739130435,0.8211933000610783,0.813983852382218,0.8244236058763776
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,3,112,49,106,79.8597142857143,81.48523809523812,79.16794339622642,0.8918342135814485,0.7285713681520523,0.8539717401118694
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,3,156,86,287,82.30941176470591,72.89000000000001,81.36194444444445,0.8943468488429528,0.7720030472588195,0.7743792319948495
