Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,3,59,74.28408898305086,0.5634782943130939
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,3,60,97.36500000000001,0.8532627063813227
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,3,60,95.165,0.8341272983014053
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,3,46,99.52771739130438,0.6847591529771457
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,3,74,98.06705405405408,0.8065622107819481
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,3,254,88.7761360448808,0.8526532141532823
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,3,93,82.36935483870971,0.79568511257619
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,3,311,92.24614634146342,0.7779304704863077
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,3,149,86.4353691275168,0.8748112212557729
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,3,203,83.08790914066778,0.8751738023402784
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,3,89,94.82186329588016,0.8507128957772486
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,3,95,79.96315789473685,0.7700208062845226
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,3,124,75.80088709677423,0.7324271110997385
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,3,228,82.17105263157896,0.8201138446078682
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,3,157,79.68377786624205,0.7891670741111338
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,3,7,90.95857142857145,0.576840700877281
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,3,122,71.70000000000002,0.7852407017175467
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,3,89,93.87130149812735,0.8448248060691834
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,3,95,103.11684210526317,0.8399756521750928
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,3,58,100.25065517241381,0.7839438935347365
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,3,114,87.89447368421054,0.7133445773577005
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,3,131,79.79357142857143,0.7597536796856657
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,3,120,86.50500000000002,0.861938255790107
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,3,96,94.19250000000001,0.8171487322761025
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,97.13950000000001,0.7809355214610938
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,3,82,64.28603658536586,0.7251218518700523
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,3,97,94.21536082474228,0.8251001823022183
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,3,941,-147.33999999999995,0.8057708695723744
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,3,142,67.28072183098594,0.8048273651362474
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,3,27,77.19916666666668,0.48041272869770724
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,3,128,83.18593750000001,0.800140493170536
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,3,31,81.94120967741938,0.2755835664919092
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,3,187,77.17500000000001,0.8954553956892951
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,3,75,91.21800000000002,0.7485842050399087
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,3,41,95.32393292682929,0.6937975058483026
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,3,127,88.49874015748034,0.7833259111803232
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,3,166,85.67653949129856,0.8810802201994082
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,3,92,88.66456521739131,0.6752211584516182
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,3,286,84.38482794943822,0.8943584338725097
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,3,63,100.04600000000002,0.8145026913069972
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,3,146,74.15919520547945,0.8438586303363333
